end_id,record_id
29,1
32,3
34,2
37,4
69,1
70,1
94,3
98,1
99,2
103,5
106,1
107,3
108,13
109,17
110,7
111,11
112,22
113,8
114,22
115,9
116,24
117,19
118,2
119,9
120,4
140,12
141,6
142,9
143,13
147,1
171,1
231,1
235,2
236,1
237,6
242,1
243,3
244,2
246,1
247,1
256,3
257,1
258,1
260,2
264,2
302,1
303,2
304,1
305,1
311,4
312,3
313,2
314,3
315,3
317,12
318,16
319,13
320,57
321,20
322,4
324,4
325,4
326,2
346,12
347,6
348,5
349,1
359,3
442,4
443,3
445,4
450,2
451,1
452,3
462,1
463,1
464,1
468,1
473,1
505,2
506,5
508,3
509,2
510,1
512,1
514,7
515,3
516,2
517,1
523,1
524,8
525,10
526,4
527,117
528,6
529,1
530,2
531,4
533,1
534,1
552,1
553,5
554,1
555,3
556,1
565,1
566,1
648,6
649,1
650,3
651,2
654,1
657,6
658,5
661,4
662,2
669,1
671,2
674,1
684,1
710,2
711,2
712,3
713,3
714,3
715,3
716,3
717,1
718,5
719,9
720,1
721,3
725,2
726,4
727,6
728,1
729,1
730,1
731,5
732,4
733,6
734,4
735,2
736,11
738,6
739,12
759,1
760,1
761,8
762,6
858,3
859,1
861,1
862,1
863,6
864,8
865,4
867,2
868,2
869,1
872,1
873,1
877,1
882,5
885,2
899,1
916,1
917,4
918,8
919,1
920,6
921,1
923,1
925,5
926,2
932,2
933,4
935,1
936,3
937,8
938,5
939,6
940,67
941,5
942,2
943,1
944,4
945,6
946,7
947,1
966,1
968,8
969,5
970,20
971,6
972,1
977,1
1057,1
1060,2
1063,2
1066,1
1068,12
1069,6
1070,7
1071,8
1072,1
1073,13
1074,2
1075,2
1076,1
1077,1
1078,2
1083,2
1085,1
1087,2
1121,4
1122,1
1123,11
1124,15
1125,8
1126,1
1129,2
1131,10
1132,12
1133,2
1138,6
1143,27
1144,6
1145,18
1146,11
1147,2
1148,14
1149,1
1150,1
1151,8
1152,2
1153,1
1170,1
1172,1
1173,3
1174,31
1175,1
1176,75
1177,7
1178,1
1179,1
1180,2
1267,1
1272,1
1273,1
1274,1
1275,1
1276,6
1277,2
1278,6
1279,7
1280,5
1281,5
1282,5
1283,5
1284,3
1288,1
1289,5
1290,2
1291,1
1293,3
1296,2
1297,1
1327,3
1328,1
1329,13
1330,9
1331,9
1332,2
1333,1
1334,1
1335,4
1337,6
1344,7
1345,6
1346,1
1347,4
1349,25
1350,16
1351,9
1352,6
1353,9
1354,1
1355,8
1356,6
1357,13
1358,7
1375,1
1376,1
1377,1
1379,3
1380,2
1381,2
1382,1
1383,3
1384,24
1385,1
1387,1
1473,1
1477,1
1478,2
1482,5
1483,1
1484,4
1485,6
1486,3
1487,6
1488,4
1490,4
1492,1
1493,6
1494,1
1495,4
1496,1
1498,1
1505,6
1506,1
1535,2
1536,2
1538,3
1539,1
1540,3
1542,2
1543,2
1545,2
1546,1
1550,2
1554,2
1555,38
1556,22
1557,82
1559,3
1560,14
1561,4
1562,21
1563,8
1564,9
1581,1
1583,2
1585,34
1586,2
1587,11
1588,2
1589,7
1591,5
1592,7
1598,1
1678,2
1679,4
1684,1
1685,4
1686,1
1687,2
1689,2
1690,3
1691,5
1692,4
1693,12
1694,3
1696,3
1697,1
1700,1
1701,5
1702,2
1704,1
1709,1
1710,2
1717,2
1723,1
1742,2
1746,2
1747,9
1751,8
1753,3
1754,10
1755,2
1756,7
1757,7
1761,4
1762,29
1763,2
1764,3
1765,9
1766,11
1767,11
1768,12
1769,8
1770,28
1788,1
1789,2
1790,3
1791,5
1792,4
1793,3
1794,3
1796,2
1797,7
1798,8
1799,2
1808,2
1884,1
1887,2
1893,7
1897,1
1898,2
1899,4
1900,10
1901,2
1905,2
1906,8
1907,3
1908,1
1909,1
1915,1
1916,1
1925,1
1947,1
1951,3
1952,1
1953,30
1954,2
1955,32
1956,35
1958,3
1959,1
1960,23
1962,17
1963,2
1969,39
1970,4
1971,36
1972,47
1973,43
1975,16
1976,3
1978,1
1981,6
1982,7
1994,1
1995,1
1997,13
1998,16
1999,6
2000,4
2001,3
2002,1
2003,5
2004,17
2005,4
2014,1
2094,1
2096,1
2097,1
2099,2
2105,2
2106,6
2107,6
2108,5
2109,1
2112,6
2113,3
2122,1
2124,1
2128,3
2153,1
2155,1
2156,1
2157,1
2158,29
2159,3
2160,5
2161,13
2162,38
2163,8
2164,17
2165,12
2166,19
2167,13
2168,2
2172,4
2173,3
2174,1
2175,3
2176,6
2177,11
2178,30
2179,32
2180,18
2181,3
2182,1
2183,6
2185,9
2187,16
2188,38
2198,3
2200,1
2202,2
2203,7
2204,5
2206,20
2207,2
2209,1
2210,1
2211,3
2212,9
2296,1
2299,1
2301,1
2302,1
2304,1
2306,1
2310,1
2312,1
2313,2
2314,4
2315,2
2318,1
2319,3
2320,8
2327,1
2341,1
2342,2
2354,5
2355,3
2357,2
2358,9
2359,3
2360,17
2361,13
2362,1
2363,50
2364,3
2365,7
2366,4
2367,18
2368,7
2370,8
2371,4
2372,8
2373,1
2374,6
2378,1
2381,14
2382,18
2383,20
2384,34
2385,24
2387,2
2388,5
2391,1
2393,7
2394,20
2397,2
2402,2
2403,3
2404,3
2405,3
2407,1
2408,9
2409,11
2410,2
2411,6
2412,27
2414,1
2416,1
2418,4
2419,7
2506,1
2509,1
2513,1
2520,1
2522,1
2523,1
2524,1
2544,1
2547,1
2549,1
2550,1
2553,1
2564,8
2568,1
2569,6
2570,14
2571,73
2572,155
2573,42
2574,1
2575,1
2576,2
2577,5
2578,15
2579,3
2580,8
2581,3
2583,1
2585,1
2586,2
2588,28
2589,42
2590,49
2591,22
2592,6
2593,10
2594,1
2595,2
2598,1
2599,6
2600,1
2601,6
2602,1
2603,7
2604,1
2609,1
2610,3
2611,2
2612,2
2613,2
2614,4
2615,2
2616,16
2617,9
2618,8
2619,26
2620,3
2621,1
2622,3
2625,1
2630,1
2711,1
2714,2
2715,6
2718,8
2726,1
2727,1
2728,1
2729,2
2730,1
2733,3
2747,1
2752,2
2753,1
2775,4
2776,8
2777,15
2778,15
2779,74
2780,4
2782,1
2783,1
2784,7
2785,12
2786,13
2789,1
2791,21
2792,3
2793,6
2794,33
2795,22
2796,19
2797,12
2798,14
2799,58
2800,6
2801,1
2802,2
2803,1
2804,4
2805,2
2806,4
2808,1
2809,2
2815,3
2818,3
2819,1
2820,5
2821,3
2822,14
2824,2
2825,5
2826,1
2829,1
2830,1
2835,1
2919,1
2932,4
2933,1
2934,1
2937,1
2938,2
2939,1
2940,1
2941,3
2952,1
2974,5
2981,1
2982,100
2983,21
2984,14
2985,40
2986,6
2987,13
2988,24
2990,1
2992,1
2993,14
2994,1
2995,26
2996,3
2997,3
2998,1
2999,11
3000,29
3001,56
3002,18
3003,44
3004,47
3005,75
3006,10
3008,5
3009,6
3010,7
3013,2
3014,1
