"5           2018-12-05"
""
""
""
"1         2       3    4      5    6       7       8"
"12        21      21   20     17   25      21      15         152"
"16        25      21   16     21   21      13      13         146"
"( )"
"1   1    1        9126 30001128                        0          0                05:00:15"
"1        2        0960 30015791                        0          0     05:08:00   05:08:14   7"
"1        3        9047 30022725                        0          0     05:16:00   05:16:04   7    9045"
"1        4        1112 30012962                        0          0     05:23:00   05:24:17   8"
"1        5        9131 30022917                        0          0     05:30:00   05:30:27   6"
"1        6        9119 30016786                        0          0     05:37:00   05:37:02   6"
"1        7        9046 30016125                        0          0     05:44:00   05:44:22   7"
"1        8        9129 30020031                        0          0     05:51:00   05:51:13   6"
"1   16 9          9124 30016284                        0          0                05:58:03   6"
"1        10       9044 30100021                        0          0     06:05:00   06:05:20   7"
"1        11       1111 30015783                        0          0     06:11:00   06:11:13   5"
"1        12       9123 30020057                        0          0     06:17:00   06:17:13   6"
"1        13       0955 30015470                        0          0     06:23:00   06:23:13   6"
"1        14       9132 30018790                        0          0     06:29:00   06:29:19   6    12 14 2"
"1        15       9126 30001128             06:17:56   35         18    06:36:00   06:36:13   6"
"1   3    16       0960 30015791             06:25:52   37         17    06:43:00   06:43:20   7"
"2        17       9045 30022725                        0          0     06:49:00   06:49:13   5    9045"
"2   2    18       9120 30015363                        0          0     06:54:00   06:54:55   5"
"2        19       9117 30013871                        0          0     07:00:00   07:01:32   6"
"2        20       1112 30012962             06:46:08   40         19    07:05:00   07:05:27   3"
"2        21       9118 30010678                        0          0     07:10:00   07:10:17   4"
"2        22       9130 30014405                        0          0     07:15:00   07:16:30   6"
"2        23       9131 30022917             06:48:25   39         31    07:20:00   07:20:13   3"
"2        24       0957 30019224                        0          0     07:25:00   07:25:31   5"
"2        25       9119 30016786             06:51:13   37         38    07:29:00   07:29:31   4"
"2        26       9128 30002856                        0          0     07:35:00   07:35:36   6"
"2        27       0959 30013885                        0          0     07:41:00   07:43:33   7"
"2        28       9046 30016125             07:10:17   42         34    07:44:00   07:44:43   1"
"2        29       9121 30020031                        0          0     07:48:00   07:48:13   3    9129"
"2        30       0956 30026673                        0          0     07:52:00   07:52:13   4    0958"
"2        31       9127 30019034             07:40:30   15         17    07:57:00   07:58:02   5"
"2        32       9047 30022556             06:29:30   33         92    08:02:00   08:02:13   4"
"2        33       9124 30016284             07:33:47   50         33    08:07:00   08:07:13   5"
"2        34       9044 30100021             07:50:43   53         22    08:13:00   08:13:19   6"
"2        35       1111 30015783             07:58:49   56         20    08:19:00   08:19:13   5"
"2        36       9125 30020057                        0          0     08:25:00   08:25:13   6    9123"
"2        37       0955 30015470             08:10:53   56         22    08:33:00   08:33:14   8"
"2        38       9132 30018790             08:23:57   60         17    08:41:00   08:41:16   8    21 24 3"
"2        39       9126 30001128             08:44:10   64         7     08:51:00   08:51:31   10"
"2        40       0961 30016991                        0          0     08:59:00   08:59:13   7"
