XCoord,YCoord,NAME,STATIONID
118.71968800,32.01914200,苍山路南,770
118.72055800,32.01735300,松花江西街西,771
118.72163400,32.01531200,乐山路·梦都大街,772
118.72239700,32.01378600,梦都大街·乐山路,423
118.72055100,32.01295100,金陵图书馆,422
118.72242000,32.01377900,梦都大街·乐山路,423
118.72467000,32.01876800,兴隆大街·华山路,467
118.72167200,32.01983300,兴隆大街·苍山路,468
118.71994800,32.01466800,梦都大街地铁站南,2745
118.72464800,32.01877200,兴隆大街·华山路,467
118.72464800,32.01877200,兴隆大街·华山路,467
118.72163400,32.01531600,乐山路·梦都大街,772
118.72040600,32.01295500,金陵图书馆,422
118.71994000,32.01466800,梦都大街地铁站南,2745
